0,1,2
LHR,SCL,BA251
HND,LHR,BA8
GIG,LHR,BA248
ICN,LHR,BA18
SEA,LHR,BA48
MAA,LHR,BA36
BLR,LHR,BA118
LAX,LHR,BA280
HYD,LHR,BA276
SAN,LHR,BA272
NRT,LHR,BA6
IAH,LHR,BA196
SJC,LHR,BA278
PHX,LHR,BA288
DOH,LHR,BA122
ISB,LHR,BA260
SFO,LHR,BA286
DFW,LHR,BA192
MCT,LHR,BA80
DXB,LHR,BA108
YVR,LHR,BA84
DEL,LHR,BA256
SYD,SIN,BA16
LAX,LHR,BA268
JED,LHR,BA132
LAS,LHR,BA274
KWI,LHR,BA156
AMM,LHR,BA146
DUR,LHR,BA40
LHR,HND,BA7
BKK,LHR,BA10
LGW,TFS,BA2702
IST,LHR,BA675
LHR,LCA,BA664
LHR,TLV,BA165
ABV,LHR,BA82
LGW,TFS,BA2730
LHR,JFK,BA117
LHR,EWR,BA185
LHR,MIA,BA207
LHR,DME,BA233
DXB,LHR,BA104
LHR,FCO,BA554
BCN,LHR,BA473
BOM,LHR,BA198
LCY,IBZ,BA8461
LHR,LIS,BA506
ALC,LGW,BA2633
CPH,LHR,BA813
LHR,IAH,BA195
LHR,PRG,BA852
LHR,SEA,BA53
MUC,LHR,BA949
ZRH,LHR,BA711
HAM,LHR,BA965
LHR,VCE,BA578
FRA,LHR,BA903
LHR,IST,BA676
DBV,LGW,BA2681
LHR,BOM,BA139
STR,LHR,BA917
GLA,LHR,BA1479
GVA,LHR,BA725
PMI,LCY,BA8484
LHR,LOS,BA75
LHR,GVA,BA728
LIN,LCY,BA7302
LHR,NCE,BA346
BOD,LGW,BA2787
NCE,LHR,BA351
LHR,NAS,BA253
LHR,JFK,BA175
LGW,EDI,BA2502
LHR,TXL,BA982
BSL,LHR,BA753
AMS,LGW,BA2759
LHR,OTP,BA886
MRS,LHR,BA367
LGW,NCE,BA2622
TXL,LHR,BA991
LGW,UVF,BA2159
SZG,LGW,BA2653
LGW,ANU,BA2157
MAD,LHR,BA457
PRG,LHR,BA855
TLS,LHR,BA373
LHR,CPH,BA808
LHR,SVO,BA235
AMS,LHR,BA431
LHR,NCL,BA1326
LIN,LHR,BA565
FLR,LCY,BA8472
LHR,SFO,BA285
LHR,NBO,BA65
TRN,LGW,BA2577
CPT,JNB,MN414
LUX,LHR,BA417
LHR,VLC,BA408
DUB,LHR,BA845
FRA,LCY,BA8733
LHR,EDI,BA1436
JNB,WDH,MN275
HAJ,LHR,BA977
CWL,,BA9173
JNB,CPT,MN417
LHR,,
LGW,BGI,BA2155
LHR,BCN,BA474
LHR,GVA,BA740
VIE,LHR,BA697
JNB,DUR,MN211
OSL,LHR,BA763
LHR,ARN,BA778
LHR,DUB,BA834
LHR,LIN,BA588
ARN,LHR,BA777
MXP,LHR,BA573
LCY,FCO,BA7349
MAN,LHR,BA1389
EDI,LCY,BA8715
ABZ,LHR,BA1307
FCO,LHR,BA549
BRU,LHR,BA393
LHR,LAX,BA283
LYS,LHR,BA361
LHR,,BA282
LCY,EDI,BA2216
CDG,LHR,BA309
LGW,CUN,BA2203
GOT,LHR,BA791
LHR,VIE,BA700
LIS,LHR,BA501
LHR,ABZ,BA1310
LCY,AMS,BA8489
LCY,DUS,BA3273
FRA,LHR,BA907
TXL,LCY,BA8492
BCN,LHR,BA479
LHR,AMS,BA434
GVA,LCY,BA2282
GLA,LHR,BA1491
VCE,LGW,BA2583
ZAG,LHR,BA841
LHR,DEL,BA143
AGP,LGW,BA2713
LGW,TIA,BA2648
JNB,,MN235
LHR,BOS,BA213
LHR,,
LVI,JNB,MN292
LGW,OPO,BA2782
LHR,SZG,BA682
DUB,LCY,BA4465
ALG,LGW,BA2547
GVA,LHR,BA727
CPT,,MN309
MUC,LCY,BA3294
LGW,GLA,BA2514
PLZ,DUR,BA6323
EDI,LHR,BA1445
CPT,,MN412
